date,code,action,reason,shares,price,cost,pnl,pnl_pct
2024-01-02,513290,BUY,rotation_in,87900,1.1371,10.0,0.0,0.0
2024-01-09,513290,SELL,rotation_out,87900,1.1879,10.44,4442.03,4.45
2024-01-09,513000,BUY,rotation_in,79300,1.3161,10.44,0.0,0.0
2024-01-10,513000,SELL,rotation_out,79300,1.3579,10.77,3288.19,3.16
2024-01-10,513290,BUY,rotation_in,91100,1.1821,10.77,0.0,0.0
2024-01-17,513290,SELL,rotation_out,91100,1.1529,10.5,-2684.44,-2.48
2024-01-17,511220,BUY,rotation_in,10800,9.641,10.41,0.0,0.0
2024-01-18,511220,SELL,rotation_out,10800,9.64,10.41,-30.85,-0.02
2024-01-18,513290,BUY,rotation_in,90500,1.1591,10.49,0.0,0.0
2024-01-19,513290,SELL,rotation_out,90500,1.1529,10.43,-584.85,-0.55
2024-01-19,513000,BUY,rotation_in,75700,1.3791,10.44,0.0,0.0
2024-01-23,513000,SELL,profit_protection,75700,1.4599,11.05,6088.72,5.84
2024-01-23,513100,BUY,rotation_in,86900,1.2711,11.05,0.0,0.0
2024-01-30,513100,SELL,rotation_out,86900,1.2919,11.23,1780.36,1.62
2024-01-30,513000,BUY,rotation_in,79700,1.4071,11.21,0.0,0.0
2024-01-31,513000,SELL,rotation_out,79700,1.3759,10.97,-2515.06,-2.23
2024-01-31,513100,BUY,rotation_in,86800,1.2641,10.97,0.0,0.0
2024-02-19,513100,SELL,rotation_out,86800,1.3009,11.29,3167.07,2.9
2024-02-19,513500,BUY,rotation_in,65000,1.7372,11.29,0.0,0.0
2024-03-05,513500,SELL,rotation_out,65000,1.7888,11.63,3334.16,2.96
2024-03-05,513310,BUY,rotation_in,94000,1.2361,11.62,0.0,0.0
2024-03-19,513310,SELL,rotation_out,94000,1.2259,11.52,-986.29,-0.84
2024-03-19,159985,BUY,rotation_in,53100,2.1682,11.51,0.0,0.0
2024-03-25,159985,SELL,profit_protection,53100,2.1338,11.33,-1851.09,-1.6
2024-03-25,159985,BUY,rotation_in,53100,2.1342,11.33,0.0,0.0
2024-03-28,159985,SELL,rotation_out,53100,2.1098,11.2,-1319.47,-1.15
2024-03-28,161226,BUY,rotation_in,139000,0.8061,11.2,0.0,0.0
2024-04-02,161226,SELL,rotation_out,139000,0.8249,11.47,2595.66,2.33
2024-04-02,518880,BUY,rotation_in,22200,5.1595,11.45,0.0,0.0
2024-04-08,518880,SELL,rotation_out,22200,5.3535,11.88,4282.32,3.75
2024-04-08,501018,BUY,rotation_in,89400,1.3301,11.89,0.0,0.0
2024-04-09,501018,SELL,rotation_out,89400,1.3419,12.0,1025.02,0.87
2024-04-09,161226,BUY,rotation_in,134500,0.8921,12.0,0.0,0.0
2024-04-23,161226,SELL,profit_protection,134500,0.8629,11.61,-3947.71,-3.28
2024-04-23,159980,BUY,rotation_in,68700,1.6892,11.6,0.0,0.0
2024-05-08,159980,SELL,rotation_out,68700,1.7308,11.89,2838.41,2.46
2024-05-08,513050,BUY,rotation_in,113000,1.0521,11.89,0.0,0.0
2024-05-14,513050,SELL,rotation_out,113000,1.1139,12.59,6957.05,5.86
2024-05-14,513160,BUY,rotation_in,163400,0.7701,12.58,0.0,0.0
2024-05-21,513160,SELL,rotation_out,163400,0.7569,12.37,-2174.1,-1.72
2024-05-21,513050,BUY,rotation_in,110600,1.1181,12.37,0.0,0.0
2024-05-23,513050,SELL,rotation_out,110600,1.0959,12.12,-2482.17,-2.0
2024-05-23,513690,BUY,rotation_in,142500,0.8501,12.11,0.0,0.0
2024-05-29,513690,SELL,rotation_out,142500,0.8529,12.15,378.96,0.32
